Fecha_Hora,Estacion,Temp_C,Humedad_%,Viento_kmh,Radiacion_Wm2
2026-06-15 22:53,Sector La Julia (Falda / Interfaz Urbana - Cota Baja),20.2,95,3.1,0.0
2026-06-15 22:53,Estación Humboldt (Eje Central / Nubosidad - Cota Media),15.9,95,5.7,0.0
2026-06-15 22:53,Pico Naiguatá (Cumbre Máxima / Alta Montaña - Cota Alta),8.0,99,5.0,0.0
2026-06-15 22:54,Sector La Julia (Falda / Interfaz Urbana - Cota Baja),20.2,95,3.1,0.0
2026-06-15 22:54,Estación Humboldt (Eje Central / Nubosidad - Cota Media),15.9,95,5.7,0.0
2026-06-15 22:54,Pico Naiguatá (Cumbre Máxima / Alta Montaña - Cota Alta),8.0,99,5.0,0.0
2026-06-15 22:56,Sector La Julia (Falda / Interfaz Urbana - Cota Baja),20.2,95,3.1,0.0
2026-06-15 22:56,Estación Humboldt (Eje Central / Nubosidad - Cota Media),15.9,95,5.7,0.0
2026-06-15 22:56,Pico Naiguatá (Cumbre Máxima / Alta Montaña - Cota Alta),8.0,99,5.0,0.0
2026-06-16 13:27,Sector La Julia (Falda / Interfaz Urbana - Cota Baja),24.7,70,7.8,475.0
2026-06-16 13:27,Estación Humboldt (Eje Central / Nubosidad - Cota Media),20.5,74,6.9,359.0
2026-06-16 13:27,Pico Naiguatá (Cumbre Máxima / Alta Montaña - Cota Alta),13.2,73,7.0,422.0
2026-06-16 14:22,Sector La Julia (Falda),23.9,83,6.1,504.0
2026-06-16 14:22,Estación Humboldt (Cota Media),19.5,85,6.0,364.0
2026-06-16 14:22,Pico Naiguatá (Cota Alta),12.6,84,5.6,390.0
2026-06-16 14:25,Sector La Julia (Falda),23.9,83,6.1,504.0
2026-06-16 14:25,Estación Humboldt (Cota Media),19.5,85,6.0,364.0
2026-06-16 14:25,Pico Naiguatá (Cota Alta),12.6,84,5.6,390.0
2026-06-16 14:28,Sector La Julia (Falda),23.9,83,6.1,504.0
2026-06-16 14:28,Estación Humboldt (Cota Media),19.5,85,6.0,364.0
2026-06-16 14:28,Pico Naiguatá (Cota Alta),12.6,84,5.6,390.0
2026-06-16 18:04,Sector La Julia (Falda),22.1,94,4.0,54.0
2026-06-16 18:04,Estación Humboldt (Cota Media),18.4,88,3.6,61.0
2026-06-16 18:04,Pico Naiguatá (Cota Alta),10.8,90,3.2,67.0
2026-06-16 19:02,Sector La Julia (Falda),21.2,98,3.6,0.0
2026-06-16 19:02,Estación Humboldt (Cota Media),17.3,94,2.4,0.0
2026-06-16 19:02,Pico Naiguatá (Cota Alta),9.4,97,2.3,0.0
2026-06-16 19:03,Sector La Julia (Falda),21.2,98,3.6,0.0
2026-06-16 19:03,Estación Humboldt (Cota Media),17.3,94,2.4,0.0
2026-06-16 19:03,Pico Naiguatá (Cota Alta),9.4,97,2.3,0.0
2026-06-16 20:43,Sector La Julia (Falda),20.9,95,2.7,0.0
2026-06-16 20:43,Estación Humboldt (Cota Media),16.6,96,4.3,0.0
2026-06-16 20:43,Pico Naiguatá (Cota Alta),8.7,98,2.7,0.0
2026-06-16 20:54,Sector La Julia (Falda),20.8,94,2.4,0.0
2026-06-16 20:54,Estación Humboldt (Cota Media),16.5,96,4.2,0.0
2026-06-16 20:54,Pico Naiguatá (Cota Alta),8.6,98,2.4,0.0
2026-06-19 18:00,Sector La Julia (Falda),21.9,97,7.5,47.0
2026-06-19 18:00,Estación Humboldt (Cota Media),18.5,83,3.6,42.0
2026-06-19 18:00,Pico Naiguatá (Cota Alta),10.6,88,3.7,49.0
2026-06-20 08:31,Sector La Julia (Falda),21.9,88,3.5,195.0
2026-06-20 08:31,Estación Humboldt (Cota Media),17.8,84,4.8,100.0
2026-06-20 08:31,Pico Naiguatá (Cota Alta),10.1,84,3.9,99.0
2026-06-20 17:13,Picacho_Galipan,20.7,78,3.1,204.0,0.1
2026-06-20 17:13,Galipan_Central,20.6,78,3.1,204.0,0.1
2026-06-20 17:13,Hotel_Humboldt,19.5,78,3.1,204.0,0.1
2026-06-20 17:13,Hoyo_de_la_Cumbre,16.5,78,3.1,204.0,0.1
2026-06-20 17:13,Pico_Occidental,14.6,77,3.1,204.0,0.1
2026-06-20 17:13,Asiento_de_Silla,17.2,78,3.1,204.0,0.1
2026-06-20 17:13,Pico_Oriental,16.5,78,3.1,204.0,0.1
2026-06-20 17:13,La_Julia,22.3,93,11.8,237.0,0.0
2026-06-20 17:13,Topo_Goering,17.6,78,3.1,204.0,0.1
2026-06-20 17:13,Pico_Naiguata,12.0,78,4.1,224.0,0.1
2026-06-20 17:13,Fila_Maestra,18.4,79,4.1,224.0,0.1
2026-06-20 17:13,Cascada_Norte,18.6,79,4.1,224.0,0.1
2026-06-20 17:13,Izcaragua,23.3,89,11.5,263.0,0.0
2026-06-20 17:19,Sector La Julia (Falda),22.0,93,11.6,198.0,0.0
2026-06-20 17:19,Estación Humboldt (Cota Media),19.1,81,2.6,172.0,0.1
2026-06-20 17:19,Pico Naiguatá (Cota Alta),11.6,80,4.0,190.0,0.1
2026-06-20 18:00,Sector La Julia (Falda),21.3,95,10.7,80.0,0.0
2026-06-20 18:00,Estación Humboldt (Cota Media),18.0,87,1.0,69.0,0.1
2026-06-20 18:00,Pico Naiguatá (Cota Alta),10.6,87,3.5,77.0,0.1
